projectid,gender,purchasing_reason,decide_purchase_reason,not_book_reason,other_projects_before_deicde,condo_payment,day_off_activity,most_interested_activites_participation,room_size_wanted,purchase_budget,residences_count,would_recommend,information_source,saw_sign,car_type,decision_time_frame,family_monthly_income,individual_monthly_income_baht,exercise_preference,condo_living_style,car_brand,purchase_intent,travel_route_today,marital_status,occupation,age,Project Brand,Project Type,Starting Price,Location,hour_sin,hour_cos,day,month,quarter,year,week,day_of_week,is_weekend,day_of_year,season
12,unknown,ลงทุน/ปล่อยเช่า,unknown,unknown,unknown,unknown,unknown,unknown,Missing,Missing,Missing,Missing,เพื่อน/ญาติแนะนำ,unknown,Missing,Missing,Missing,Missing,unknown,unknown,unknown,unknown,unknown,โสด,unknown,36-45 ปี,MODIZ,HIGH RISE,1790000,พหลโยธิน,0.49999999999999994,-0.8660254037844387,14,8,3,2016,32,6,1,227,3
9,unknown,ใกล้ที่ทำงาน,unknown,unknown,unknown,unknown,unknown,unknown,Missing,1.51 - 2.0M,Missing,Missing,Facebook Assetwise,unknown,Missing,Missing,"35,001 - 50,000","40,001 - 50,000",unknown,unknown,unknown,unknown,unknown,สมรส มีบุตร (คน),พนักงานบริษัทเอกชน ประเภท,25-35 ปี,ATMOZ,LOW RISE,2000000,ลาดพร้าว,0.49999999999999994,0.8660254037844387,24,5,2,2018,21,3,0,144,2
7,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Missing,1.51 - 2.0M,Missing,Missing,unknown,Other,Missing,Missing,"20,001 - 35,000",Missing,unknown,unknown,unknown,unknown,unknown,unknown,รับราชการ ประเภท,36-45 ปี,MODIZ,HIGH RISE,2000000,รัชดา,0.9659258262890683,0.25881904510252074,8,9,3,2018,36,5,1,251,4
15,unknown,แต่งงาน/สร้างครอบครัวใหม่,unknown,unknown,unknown,unknown,unknown,unknown,Missing,2.01 - 2.5M,Missing,Missing,unknown,unknown,Missing,Missing,Missing,"40,001 - 50,000",unknown,unknown,unknown,unknown,unknown,โสด,อื่นๆ,25-35 ปี,OTHER,LOW RISE,2700000,พหลโยธิน,0.25881904510252074,0.9659258262890683,12,9,3,2018,37,2,0,255,4
17,unknown,ลงทุน/ปล่อยเช่า,unknown,unknown,unknown,unknown,unknown,unknown,Missing,Missing,Missing,Missing,unknown,unknown,Missing,Missing,Missing,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Missing,MODIZ,HIGH RISE,3990000,สุขุมวิท,0.8660254037844386,0.5000000000000001,17,11,4,2018,46,5,1,321,4
19,unknown,ลงทุน/ปล่อยเช่า,unknown,unknown,unknown,unknown,unknown,unknown,Missing,2.01 - 2.5M,Missing,Missing,เพื่อน/ญาติแนะนำ,unknown,Missing,1 - 3 เดือน,Missing,"65,001 - 80,000",unknown,unknown,unknown,unknown,unknown,โสด,ธุรกิจส่วนตัว ประเภท,Missing,ATMOZ,LOW RISE,2490000,รัชดา,0.8660254037844386,0.5000000000000001,7,12,4,2018,49,4,0,341,1
19,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Missing,3.01 - 3.5M,Missing,Missing,unknown,unknown,Missing,1 - 3 เดือน,Missing,"120,001 - 150,000",unknown,unknown,unknown,unknown,unknown,โสด,ธุรกิจส่วนตัว ประเภท,Missing,ATMOZ,LOW RISE,2490000,รัชดา,0.8660254037844386,0.5000000000000001,25,12,4,2018,52,1,0,359,1
14,unknown,ใกล้ที่ทำงาน,unknown,unknown,unknown,unknown,unknown,unknown,Missing,Missing,Missing,Missing,Facebook Assetwise,unknown,Missing,Missing,Missing,"50,001 - 65,000",unknown,unknown,unknown,unknown,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,36-45 ปี,BROWN,LOW RISE,2490000,พหลโยธิน,0.49999999999999994,0.8660254037844387,15,2,1,2019,7,4,0,46,1
28,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Missing,1.01 - 1.5M,Missing,Missing,Facebook Assetwise,unknown,Missing,มากกว่า 1 ปี,Missing,"20,001 - 30,000",unknown,unknown,unknown,unknown,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,ATMOZ,LOW RISE,1490000,แจ้งวัฒนะ,0.258819045102521,-0.9659258262890682,28,2,1,2019,9,3,0,59,1
22,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Missing,2.01 - 2.5M,Missing,Missing,unknown,Other,Missing,Missing,"65,001 - 80,000","80,001 - 100,000",unknown,unknown,unknown,unknown,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,BROWN,LOW RISE,2690000,รัชดา,0.9659258262890683,0.25881904510252074,10,3,1,2019,10,6,1,69,2
18,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Missing,1.51 - 2.0M,Missing,Missing,ป้ายหน้าโครงการ/รั้วโครงการ,unknown,Missing,Missing,Missing,"20,001 - 30,000",unknown,unknown,unknown,unknown,unknown,โสด,ธุรกิจส่วนตัว ประเภท,ต่ำกว่า 25 ปี,KAVE,Campus Condo,2590000,พหลโยธิน,0.7071067811865476,0.7071067811865476,13,3,1,2019,11,2,0,72,2
28,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Missing,1.51 - 2.0M,Missing,Missing,Facebook Assetwise,unknown,Missing,Missing,Missing,"20,001 - 30,000",unknown,unknown,unknown,unknown,unknown,โสด,รับราชการ ประเภท,25-35 ปี,ATMOZ,LOW RISE,1490000,แจ้งวัฒนะ,1.0,6.123233995736766e-17,24,4,2,2019,17,2,0,114,2
17,unknown,ใกล้ที่ทำงาน,unknown,unknown,unknown,unknown,unknown,unknown,Missing,2.01 - 2.5M,Missing,Missing,unknown,unknown,Missing,Missing,"35,001 - 50,000",Missing,unknown,unknown,unknown,unknown,unknown,unknown,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,MODIZ,HIGH RISE,3990000,สุขุมวิท,0.9659258262890683,0.25881904510252074,27,4,2,2019,17,5,1,117,2
22,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Missing,1.51 - 2.0M,Missing,Missing,Google Search,unknown,Missing,Missing,Missing,"20,001 - 30,000",unknown,unknown,unknown,unknown,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,ต่ำกว่า 25 ปี,BROWN,LOW RISE,2690000,รัชดา,1.2246467991473532e-16,-1.0,1,5,2,2019,18,2,0,121,2
25,หญิง,ใกล้ที่ทำงาน,unknown,ราคาสูงกว่างบประมาณในการซื้อ,ไม่ได้เปรียบเทียบ,unknown,พักผ่อนส่วนตัว,unknown,23-25 ตร.ม.,Missing,Missing,Missing,unknown,unknown,ไม่มีรถ,ภายใน 1 เดือน,"20,001 - 35,000","15,001 - 20,000",unknown,unknown,ไม่มีรถ,อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,ต่ำกว่า 25 ปี,WYNN,LOW RISE,1760000,ลาดพร้าว,-0.2588190451025208,-0.9659258262890683,1,9,3,2019,35,6,1,244,4
16,หญิง,ใกล้ที่ทำงาน,unknown,unknown,unknown,unknown,unknown,unknown,40-50 ตร.ม.,2.01 - 2.5M,Missing,Missing,Facebook Assetwise,unknown,Missing,1 - 3 เดือน,"50,001 - 65,000","50,001 - 65,000",unknown,unknown,unknown,อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,36-45 ปี,OTHER,LOW RISE,1590000,บางเขน,-0.7071067811865471,-0.7071067811865479,22,9,3,2019,38,6,1,265,4
24,ชาย,unknown,unknown,อยู่ระหว่างการตัดสินใจ,unknown,unknown,unknown,unknown,101 -140 ตร.ม.,6.01 - 7.0M,Missing,Missing,Website โครงการ,unknown,Missing,Missing,Missing,"150,001 - 200,000",unknown,unknown,unknown,อยู่เอง,unknown,สมรส ไม่มีบุตร,unknown,25-35 ปี,MODIZ,HIGH RISE,2390000,ลาดพร้าว,-0.9659258262890683,-0.25881904510252063,5,10,4,2019,40,5,1,278,4
30,ชาย,ลงทุน/ปล่อยเช่า,unknown,อยู่ระหว่างการตัดสินใจ,unknown,unknown,unknown,unknown,23-25 ตร.ม.,2.01 - 2.5M,Missing,Missing,ป้ายหน้าโครงการ/รั้วโครงการ,unknown,Missing,1 - 3 เดือน,"180,001 - 200,000","150,001 - 200,000",unknown,unknown,unknown,ปล่อยเช่า,unknown,สมรส มีบุตร (คน),ธุรกิจส่วนตัว ประเภท,36-45 ปี,KAVE,Campus Condo,1670000,รามอินทรา-วัชรพล,-1.0,-1.8369701987210297e-16,23,10,4,2019,43,2,0,296,4
25,หญิง,unknown,unknown,อยู่ระหว่างการตัดสินใจ,unknown,unknown,unknown,unknown,26-29 ตร.ม.,1.51 - 2.0M,Missing,Missing,เพื่อน/ญาติแนะนำ,unknown,Missing,1 - 3 เดือน,Missing,"40,001 - 50,000",unknown,unknown,unknown,อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,WYNN,LOW RISE,1760000,ลาดพร้าว,0.7071067811865476,-0.7071067811865475,24,11,4,2019,47,6,1,328,4
21,หญิง,ใกล้ที่ทำงาน,ทำเล,unknown,unknown,ขอสินเชื่อ,พักผ่อนส่วนตัว,unknown,40-50 ตร.ม.,2.01 - 2.5M,หลังที่ 1,Missing,Google Search,unknown,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",ภายใน 1 เดือน,"80,001 - 100,000","20,001 - 30,000",unknown,unknown,ฮอนด้า (Honda),อยู่เอง,unknown,สมรส ไม่มีบุตร,พนักงานบริษัทเอกชน ประเภท,36-45 ปี,OTHER,LOW RISE,1250000,บางเขน,1.2246467991473532e-16,-1.0,29,12,4,2019,52,6,1,363,1
10,ชาย,unknown,unknown,รอพาคนตัดสินใจมาดู,Other,unknown,unknown,unknown,26-29 ตร.ม.,2.01 - 2.5M,Missing,Missing,unknown,unknown,Missing,1 - 3 เดือน,Missing,"20,001 - 30,000",unknown,unknown,unknown,unknown,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,WYNN,LOW RISE,1490000,ลาดพร้าว,-0.8660254037844385,-0.5000000000000004,12,1,1,2020,2,6,1,12,1
21,หญิง,ทำเลที่เดินทางสะดวกขึ้น,unknown,อยู่ระหว่างการตัดสินใจ,unknown,unknown,unknown,unknown,40-50 ตร.ม.,3.01 - 3.5M,Missing,Missing,unknown,unknown,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",1 - 3 เดือน,Missing,"40,001 - 50,000",unknown,unknown,โตโยต้า (Toyota),อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,OTHER,LOW RISE,1250000,บางเขน,-0.4999999999999997,-0.8660254037844388,1,2,1,2020,5,5,1,32,1
10,หญิง,unknown,unknown,อยู่ระหว่างการตัดสินใจ,unknown,unknown,unknown,unknown,23-25 ตร.ม.,1.01 - 1.5M,Missing,Missing,Google Search,ป้ายบริเวณ รั้วโครงการ/หน้าโครงการ,Missing,1 - 3 เดือน,Missing,"15,001 - 20,000",unknown,unknown,unknown,อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,ต่ำกว่า 25 ปี,WYNN,LOW RISE,1490000,ลาดพร้าว,-1.0,-1.8369701987210297e-16,12,4,2,2020,15,6,1,103,2
9,หญิง,ทำเลที่เดินทางสะดวกขึ้น,unknown,อยู่ระหว่างการตัดสินใจ,unknown,unknown,ดูหนัง,unknown,26-29 ตร.ม.,1.51 - 2.0M,Missing,Missing,เพื่อน/ญาติแนะนำ,unknown,Missing,1 - 3 เดือน,"35,001 - 50,000","40,001 - 50,000",unknown,unknown,unknown,อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,ATMOZ,LOW RISE,2000000,ลาดพร้าว,-0.7071067811865471,-0.7071067811865479,15,5,2,2020,20,4,0,136,2
13,หญิง,unknown,unknown,อยู่ระหว่างการตัดสินใจ,อื่นๆ โปรดระบุ,unknown,unknown,unknown,23-25 ตร.ม.,1.51 - 2.0M,Missing,Missing,Facebook Assetwise,unknown,Missing,1 - 3 เดือน,"35,001 - 50,000","40,001 - 50,000",unknown,unknown,unknown,unknown,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,MODIZ,HIGH RISE,2790000,บางเขน,-1.0,-1.8369701987210297e-16,24,6,2,2020,26,2,0,176,3
12,ชาย,สภาพแวดล้อมที่ดีขึ้น,unknown,อยู่ระหว่างการตัดสินใจ,ไม่ได้เปรียบเทียบ,unknown,ดูหนัง,unknown,26-29 ตร.ม.,3.01 - 3.5M,Missing,Missing,Website โครงการ,unknown,Missing,4 - 6 เดือน,"50,001 - 65,000","50,001 - 65,000",unknown,unknown,unknown,อยู่เอง,unknown,โสด,รับราชการ ประเภท,25-35 ปี,MODIZ,HIGH RISE,1790000,พหลโยธิน,-0.9659258262890683,-0.25881904510252063,27,6,2,2020,26,5,1,179,3
31,หญิง,ซื้อเก็บเป็นทรัพย์สิน,ทำเล,อื่นๆ,ไม่ได้เปรียบเทียบ,ขอสินเชื่อ,พักผ่อนส่วนตัว,unknown,26-29 ตร.ม.,2.01 - 2.5M,หลังที่ 1,Missing,ป้าย Fence หน้าโครงการ,ป้าย Fence หน้าโครงการ,ไม่มีรถ,มากกว่า 1 ปี,"20,001 - 35,000","20,001 - 30,000",unknown,unknown,ไม่มีรถ,อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,MODIZ,HIGH RISE,2690000,รามคำแหง,-0.7071067811865471,-0.7071067811865479,28,6,2,2020,26,6,1,180,3
15,unknown,unknown,unknown,unknown,unknown,ขอสินเชื่อ,unknown,unknown,Missing,Missing,หลังที่ 1,Missing,unknown,unknown,Missing,Missing,Missing,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Missing,OTHER,LOW RISE,2700000,พหลโยธิน,-0.7071067811865471,-0.7071067811865479,6,9,3,2020,36,6,1,250,4
45,หญิง,ลงทุน/ปล่อยเช่า,unknown,อื่นๆ,ไม่ได้เปรียบเทียบ,ขอสินเชื่อ,unknown,unknown,23-25 ตร.ม.,2.01 - 2.5M,หลังที่ 2,Missing,unknown,Other,"รถเก๋ง Size M (Civic, Altis ...)",ภายใน 1 เดือน,"65,001 - 80,000","65,001 - 80,000",unknown,unknown,นิสสัน (Nissan),unknown,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,MODIZ,HIGH RISE,2510000,รังสิต,0.7071067811865476,-0.7071067811865475,9,9,3,2020,37,2,0,253,4
29,ชาย,ทำเลที่เดินทางสะดวกขึ้น,unknown,รอพาคนตัดสินใจมาดู,ไม่ได้เปรียบเทียบ,unknown,ท่องเที่ยว,unknown,30-34 ตร.ม.,4.01 - 4.5M,Missing,Missing,ป้ายหน้าโครงการ/รั้วโครงการ,ป้ายบริเวณ ข้าง/หน้า สำนักงานขาย,ไม่มีรถ,4 - 6 เดือน,"65,001 - 80,000","65,001 - 80,000",unknown,unknown,ไม่มีรถ,อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,36-45 ปี,MODIZ,HIGH RISE,3590000,บางโพ,-0.9659258262890683,-0.25881904510252063,20,9,3,2020,38,6,1,264,4
6,หญิง,unknown,unknown,รอพาคนตัดสินใจมาดู,ไม่ได้เปรียบเทียบ,ขอสินเชื่อ,unknown,unknown,26-29 ตร.ม.,2.01 - 2.5M,หลังที่ 1,Missing,unknown,Other,ไม่มีรถ,ภายใน 1 เดือน,"20,001 - 35,000","20,001 - 30,000",unknown,unknown,ไม่มีรถ,unknown,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,ATMOZ,LOW RISE,2990000,ลาดพร้าว,-0.8660254037844385,-0.5000000000000004,11,11,4,2020,46,2,0,316,4
13,หญิง,ทำเลที่เดินทางสะดวกขึ้น,unknown,unknown,unknown,unknown,unknown,unknown,23-25 ตร.ม.,2.01 - 2.5M,Missing,Missing,ป้ายหน้าโครงการ/รั้วโครงการ,unknown,Missing,1 - 3 เดือน,"65,001 - 80,000","20,001 - 30,000",unknown,unknown,unknown,อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,36-45 ปี,MODIZ,HIGH RISE,2790000,บางเขน,-0.8660254037844385,-0.5000000000000004,27,12,4,2020,52,6,1,362,1
8,หญิง,ทำเลที่เดินทางสะดวกขึ้น,unknown,อยู่ระหว่างการตัดสินใจ,ไม่ได้เปรียบเทียบ,unknown,พบปะสังสรรค์กับเพื่อน,unknown,26-29 ตร.ม.,2.01 - 2.5M,Missing,Missing,Facebook โครงการ,Other,ไม่มีรถ,1 - 3 เดือน,"35,001 - 50,000","40,001 - 50,000",unknown,unknown,ไม่มีรถ,อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,BROWN,LOW RISE,2000000,รัชดา,1.2246467991473532e-16,-1.0,5,1,1,2021,1,1,0,5,1
46,ชาย,ลงทุน/ปล่อยเช่า,ทำเล,อยู่ระหว่างการตัดสินใจ,Other,ขอสินเชื่อ,unknown,unknown,น้อยกว่า 23  ตร.ม.,1.51 - 2.0M,หลังที่ 2,Missing,อื่นๆ,ป้ายบริเวณ รั้วโครงการ/หน้าโครงการ,"รถยนต์อเนกประสงค์ (SUV, MPV)",ภายใน 1 เดือน,"200,001 - 300,000","120,001 - 150,000",unknown,unknown,อื่นๆ,ปล่อยเช่า,unknown,สมรส มีบุตร (คน),พนักงานบริษัทเอกชน ประเภท,45 ปีขึ้นไป,KAVE,Campus Condo,2590000,ศาลายา,-0.2588190451025208,-0.9659258262890683,12,3,1,2021,10,4,0,71,2
18,หญิง,unknown,unknown,อยู่ระหว่างการตัดสินใจ,ไม่ได้เปรียบเทียบ,unknown,unknown,unknown,26-29 ตร.ม.,Missing,Missing,Missing,Facebook โครงการ,unknown,Missing,1 - 3 เดือน,"200,001 - 300,000","150,001 - 200,000",unknown,unknown,unknown,อยู่เอง,unknown,unknown,ธุรกิจส่วนตัว ประเภท,45 ปีขึ้นไป,KAVE,Campus Condo,2590000,พหลโยธิน,-0.8660254037844386,0.5000000000000001,10,6,2,2021,23,3,0,161,3
