projectid,gender,purchasing_reason,decide_purchase_reason,not_book_reason,other_projects_before_deicde,condo_payment,day_off_activity,most_interested_activites_participation,room_size_wanted,purchase_budget,residences_count,would_recommend,information_source,saw_sign,car_type,decision_time_frame,family_monthly_income,individual_monthly_income_baht,exercise_preference,condo_living_style,car_brand,purchase_intent,travel_route_today,marital_status,occupation,age,Project Brand,Project Type,Starting Price,Location,hour_sin,hour_cos,day,month,quarter,year,week,day_of_week,is_weekend,day_of_year,season,has_booked_prediction
27,หญิง,unknown,unknown,อื่นๆ,อื่นๆ โปรดระบุ,unknown,ท่องเที่ยว,unknown,23-25 ตร.ม.,2.01 - 2.5M,Missing,Missing,อื่นๆ,unknown,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",4 - 6 เดือน,"200,001 - 300,000","120,001 - 150,000",unknown,unknown,โตโยต้า (Toyota),ปล่อยเช่า,unknown,โสด,ธุรกิจส่วนตัว ประเภท,25-35 ปี,IVORY,LOW RISE,2390000,รัชดา,-1.0,-1.8369701987210294e-16,7.0,10.0,4.0,2023.0,40,5.0,1,280.0,4.0,0.0
28,ชาย,ใกล้ที่ทำงาน,ทำเล,unknown,ไม่ได้เปรียบเทียบ,ขอสินเชื่อ,พักผ่อนส่วนตัว,unknown,น้อยกว่า 23  ตร.ม.,1.01 - 1.5M,หลังที่ 1,Missing,Facebook โครงการ,ป้าย Fence ตรงโครงการ,"รถเก๋ง Size M (Civic, Altis ...)",ภายใน 1 เดือน,"20,001 - 35,000","20,001 - 30,000",unknown,unknown,ฮอนด้า (Honda),อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,ATMOZ,LOW RISE,1490000,แจ้งวัฒนะ,-0.7071067811865471,-0.7071067811865479,4.0,12.0,4.0,2021.0,48,5.0,1,338.0,1.0,1.0
28,ชาย,ทำเลที่เดินทางสะดวกขึ้น,unknown,อยู่ระหว่างการตัดสินใจ,Other,unknown,พักผ่อนส่วนตัว,unknown,35-39 ตร.ม.,1.01 - 1.5M,Missing,Missing,Google Search,ป้าย Fence ตรงโครงการ,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",ภายใน 1 เดือน,"65,001 - 80,000","65,001 - 80,000",unknown,unknown,ฮอนด้า (Honda),อยู่เอง,unknown,สมรส มีบุตร (คน),รับราชการ ประเภท,36-45 ปี,ATMOZ,LOW RISE,1490000,แจ้งวัฒนะ,-0.9659258262890684,-0.2588190451025206,18.0,9.0,3.0,2021.0,37,5.0,1,261.0,4.0,0.0
29,หญิง,อื่นๆ,unknown,unknown,อื่นๆ โปรดระบุ,unknown,unknown,unknown,40-50 ตร.ม.,5.01 - 6.0M,Missing,Missing,ป้ายหน้าโครงการ/รั้วโครงการ,ป้ายบริเวณ ข้าง/หน้า สำนักงานขาย,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",7 - 12 เดือน,"80,001 - 100,000","80,001 - 100,000",unknown,unknown,ฮอนด้า (Honda),อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,MODIZ,HIGH RISE,3590000,บางโพ,-0.4999999999999997,-0.8660254037844388,10.0,6.0,2.0,2020.0,24,2.0,0,162.0,3.0,0.0
29,ชาย,ใกล้ที่ทำงาน,unknown,unknown,อื่นๆ โปรดระบุ,unknown,unknown,unknown,26-29 ตร.ม.,2.01 - 2.5M,Missing,Missing,ป้ายหน้าโครงการ/รั้วโครงการ,ป้ายบริเวณ รั้วโครงการ/หน้าโครงการ,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",มากกว่า 1 ปี,"35,001 - 50,000","40,001 - 50,000",unknown,unknown,โตโยต้า (Toyota),อยู่เอง,Other,โสด,รับราชการ ประเภท,25-35 ปี,MODIZ,HIGH RISE,3590000,บางโพ,-0.7071067811865471,-0.7071067811865479,9.0,9.0,3.0,2023.0,36,5.0,1,252.0,4.0,0.0
30,หญิง,ใกล้ที่ทำงาน,unknown,อื่นๆ,unknown,ขอสินเชื่อ,unknown,unknown,35-39 ตร.ม.,1.51 - 2.0M,หลังที่ 2,Missing,ป้ายหน้าโครงการ/รั้วโครงการ,unknown,Missing,ภายใน 1 เดือน,"65,001 - 80,000","50,001 - 65,000",unknown,unknown,unknown,unknown,unknown,สมรส มีบุตร (คน),พนักงานบริษัทเอกชน ประเภท,45 ปีขึ้นไป,KAVE,Campus Condo,1670000,รามอินทรา-วัชรพล,-0.9659258262890684,0.2588190451025203,29.0,9.0,3.0,2019.0,39,6.0,1,272.0,4.0,1.0
30,หญิง,ทำเลที่เดินทางสะดวกขึ้น,unknown,unknown,ไม่ได้เปรียบเทียบ,ขอสินเชื่อ,unknown,unknown,23-25 ตร.ม.,1.51 - 2.0M,หลังที่ 1,Missing,ป้ายหน้าโครงการ/รั้วโครงการ,unknown,"รถยนต์อเนกประสงค์ (SUV, MPV)",ภายใน 1 เดือน,"80,001 - 100,000","20,001 - 30,000",unknown,unknown,อื่นๆ,อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,ต่ำกว่า 25 ปี,KAVE,Campus Condo,1670000,รามอินทรา-วัชรพล,-1.0,-1.8369701987210294e-16,6.0,7.0,3.0,2020.0,28,0.0,0,188.0,3.0,1.0
31,หญิง,ทำเลที่เดินทางสะดวกขึ้น,ราคา/ความคุ้มค่า,อยู่ระหว่างการตัดสินใจ,ไม่ได้เปรียบเทียบ,ขอสินเชื่อ,พักผ่อนส่วนตัว,unknown,23-25 ตร.ม.,3.01 - 3.5M,หลังที่ 2,Missing,เพื่อน/ญาติแนะนำ,unknown,Missing,ภายใน 1 เดือน,"20,001 - 35,000","20,001 - 30,000",unknown,unknown,unknown,อยู่เอง,unknown,โสด,พนักงานรัฐวิสาหกิจ ประเภท,25-35 ปี,MODIZ,HIGH RISE,2690000,รามคำแหง,-0.2588190451025208,-0.9659258262890684,18.0,2.0,1.0,2024.0,7,6.0,1,49.0,1.0,1.0
31,ชาย,ทำเลที่เดินทางสะดวกขึ้น,unknown,รอพาคนตัดสินใจมาดู,Other,unknown,พักผ่อนส่วนตัว,unknown,26-29 ตร.ม.,2.01 - 2.5M,Missing,Missing,Other,ป้าย Fence หน้าโครงการ,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",1 - 3 เดือน,"20,001 - 35,000","20,001 - 30,000",unknown,unknown,ฮอนด้า (Honda),อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,36-45 ปี,MODIZ,HIGH RISE,2690000,รามคำแหง,-0.9659258262890684,0.2588190451025203,28.0,7.0,3.0,2020.0,31,1.0,0,210.0,3.0,0.0
45,unknown,unknown,ทำเล,unknown,unknown,เงินสด,unknown,unknown,Missing,2.51 - 3.0M,หลังที่ 1,Missing,Facebook,unknown,Missing,Missing,Missing,"15,001 - 20,000",unknown,unknown,unknown,unknown,unknown,unknown,อื่นๆ,ต่ำกว่า 25 ปี,MODIZ,HIGH RISE,2510000,รังสิต,-0.5000000000000004,0.8660254037844384,28.0,5.0,2.0,2023.0,21,6.0,1,148.0,2.0,0.0
45,หญิง,unknown,unknown,Other,อื่นๆ โปรดระบุ,unknown,ท่องเที่ยว,unknown,23-25 ตร.ม.,2.01 - 2.5M,Missing,Missing,Facebook,ป้ายบริเวณ รั้วโครงการ/หน้าโครงการ,"รถเก๋ง Size L (Accord, Camry ...)",1 - 3 เดือน,"200,001 - 300,000","100,001 - 120,000",unknown,unknown,ฮอนด้า (Honda),อยู่เอง,unknown,สมรส มีบุตร (คน),อื่นๆ,45 ปีขึ้นไป,MODIZ,HIGH RISE,2510000,รังสิต,-0.2588190451025215,0.965925826289068,25.0,2.0,1.0,2023.0,8,5.0,1,56.0,1.0,0.0
46,หญิง,ใกล้มหาวิทยาลัย,ทำเล,อยู่ระหว่างการตัดสินใจ,ไม่ได้เปรียบเทียบ,ขอสินเชื่อ,พักผ่อนส่วนตัว,unknown,น้อยกว่า 23  ตร.ม.,1.51 - 2.0M,หลังที่ 1,Missing,ป้ายโฆษณา,ป้ายบริเวณ รั้วโครงการ/หน้าโครงการ,"รถเก๋ง Size L (Accord, Camry ...)",1 - 3 เดือน,"100,001 - 120,000","100,001 - 120,000",unknown,unknown,โตโยต้า (Toyota),ปล่อยเช่า,Other,สมรส มีบุตร (คน),รับราชการ ประเภท,45 ปีขึ้นไป,KAVE,Campus Condo,2590000,ศาลายา,-1.0,-1.8369701987210294e-16,5.0,10.0,4.0,2022.0,40,2.0,0,278.0,4.0,1.0
46,ชาย,unknown,unknown,กังวลเรื่องสินเชื่อ,ไม่ได้เปรียบเทียบ,unknown,พักผ่อนส่วนตัว,unknown,น้อยกว่า 23  ตร.ม.,1.51 - 2.0M,Missing,Missing,Facebook Assetwise,ป้ายบริเวณ รั้วโครงการ/หน้าโครงการ,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",มากกว่า 1 ปี,"65,001 - 80,000","50,001 - 65,000",unknown,unknown,อื่นๆ,อยู่เอง,Other,สมรส มีบุตร (คน),รับราชการ ประเภท,45 ปีขึ้นไป,KAVE,Campus Condo,2590000,ศาลายา,-0.9659258262890684,-0.2588190451025206,24.0,3.0,1.0,2023.0,12,4.0,0,83.0,2.0,0.0
47,หญิง,ใกล้มหาวิทยาลัย,unknown,unknown,unknown,unknown,unknown,unknown,23-25 ตร.ม.,1.01 - 1.5M,Missing,Missing,unknown,unknown,Missing,Missing,"180,001 - 200,000","150,001 - 200,000",unknown,unknown,unknown,อยู่เอง,unknown,โสด,อื่นๆ,ต่ำกว่า 25 ปี,KAVE,Campus Condo,1790000,Other,-1.0,-1.8369701987210294e-16,9.0,9.0,3.0,2022.0,36,4.0,0,252.0,4.0,0.0
47,ชาย,ใกล้มหาวิทยาลัย,ราคา/ความคุ้มค่า,unknown,unknown,ขอสินเชื่อ,Shopping,unknown,26-29 ตร.ม.,2.01 - 2.5M,หลังที่ 1,Missing,เพื่อน/ญาติแนะนำ,unknown,Missing,ภายใน 1 เดือน,"80,001 - 100,000","120,001 - 150,000",unknown,unknown,unknown,อยู่เอง,unknown,สมรส ไม่มีบุตร,ธุรกิจส่วนตัว ประเภท,45 ปีขึ้นไป,KAVE,Campus Condo,1790000,Other,-0.8660254037844385,-0.5000000000000004,17.0,2.0,1.0,2024.0,7,5.0,1,48.0,1.0,1.0
48,หญิง,ลงทุน/ปล่อยเช่า,unknown,unknown,ไม่ได้เปรียบเทียบ,unknown,unknown,unknown,น้อยกว่า 23  ตร.ม.,1.51 - 2.0M,Missing,Missing,Facebook โครงการ,unknown,Missing,1 - 3 เดือน,"50,001 - 65,000","50,001 - 65,000",unknown,unknown,unknown,ปล่อยเช่า,unknown,unknown,พนักงานบริษัทเอกชน ประเภท,36-45 ปี,KAVE,Campus Condo,1790000,บางนา,1.2246467991473532e-16,-1.0,12.0,3.0,1.0,2023.0,10,6.0,1,71.0,2.0,0.0
48,ชาย,unknown,unknown,อยู่ระหว่างการตัดสินใจ,unknown,unknown,unknown,unknown,26-29 ตร.ม.,1.51 - 2.0M,Missing,Missing,Facebook Assetwise,unknown,"รถเก๋ง Size L (Accord, Camry ...)",Missing,Missing,Missing,unknown,unknown,Other,อยู่เอง,ถ.พหลโยธินฯ,สมรส มีบุตร (คน),อื่นๆ,45 ปีขึ้นไป,KAVE,Campus Condo,1790000,บางนา,-0.8660254037844385,-0.5000000000000004,28.0,5.0,2.0,2024.0,22,1.0,0,149.0,2.0,0.0
49,หญิง,Other,unknown,Other,unknown,unknown,พักผ่อนส่วนตัว,unknown,51-60 ตร.ม.,4.51 - 5.0M,Missing,Missing,ป้ายโฆษณา,ป้ายหน้าโครงการ,"รถเก๋ง Size M (Civic, Altis ...)",1 - 3 เดือน,Missing,"120,001 - 150,000",unknown,unknown,ฮอนด้า (Honda),อยู่เอง,Other,สมรส มีบุตร (คน),ธุรกิจส่วนตัว ประเภท,45 ปีขึ้นไป,MODIZ,HIGH RISE,2390000,Other,-1.0,-1.8369701987210294e-16,24.0,1.0,1.0,2024.0,4,2.0,0,24.0,1.0,0.0
49,LGBT,สภาพแวดล้อมที่ดีขึ้น,unknown,ราคาสูงกว่างบประมาณในการซื้อ,unknown,unknown,พักผ่อนส่วนตัว,unknown,น้อยกว่า 23  ตร.ม.,2.51 - 3.0M,Missing,Missing,Facebook Assetwise,Other,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",1 - 3 เดือน,Missing,"20,001 - 30,000",unknown,unknown,โตโยต้า (Toyota),อยู่เอง,Other,โสด,รับราชการ ประเภท,25-35 ปี,MODIZ,HIGH RISE,2390000,Other,-0.4999999999999997,-0.8660254037844388,1.0,11.0,4.0,2023.0,44,2.0,0,305.0,4.0,0.0
50,หญิง,ใกล้มหาวิทยาลัย,มีโอกาสในการลงทุน,unknown,unknown,ขอสินเชื่อ,ดูหนัง,unknown,23-25 ตร.ม.,1.51 - 2.0M,หลังที่ 1,Missing,Facebook,unknown,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",ภายใน 1 เดือน,"35,001 - 50,000","40,001 - 50,000",unknown,unknown,unknown,ปล่อยเช่า,unknown,โสด,อื่นๆ,25-35 ปี,KAVE,Campus Condo,1690000,รังสิต,-0.8660254037844385,-0.5000000000000004,29.0,1.0,1.0,2023.0,4,6.0,1,29.0,1.0,1.0
50,unknown,unknown,unknown,unknown,unknown,unknown,พักผ่อนส่วนตัว,unknown,Missing,1.51 - 2.0M,Missing,Missing,ลูกค้าเก่า AssetWise,ป้ายบริเวณ รั้วโครงการ/หน้าโครงการ,Missing,Missing,Missing,"100,001 - 120,000",unknown,unknown,unknown,unknown,unknown,unknown,ธุรกิจส่วนตัว ประเภท,45 ปีขึ้นไป,KAVE,Campus Condo,1690000,รังสิต,-0.9659258262890684,0.2588190451025203,11.0,6.0,2.0,2023.0,23,6.0,1,162.0,3.0,0.0
51,ชาย,ใกล้ที่ทำงาน,unknown,กังวลเรื่องสินเชื่อ,ไม่ได้เปรียบเทียบ,unknown,พักผ่อนส่วนตัว,unknown,23-25 ตร.ม.,1.51 - 2.0M,Missing,Missing,Facebook โครงการ,ป้ายบริเวณ ข้าง/หน้า สำนักงานขาย,"รถยนต์อเนกประสงค์ (SUV, MPV)",1 - 3 เดือน,"35,001 - 50,000","40,001 - 50,000",unknown,unknown,มิตซูบิชิ (Mitsubishi),อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,36-45 ปี,ATMOZ,LOW RISE,1790000,ศรีราชา,1.2246467991473532e-16,-1.0,11.0,11.0,4.0,2024.0,46,0.0,0,316.0,4.0,0.0
51,หญิง,ลงทุน/ปล่อยเช่า,Other,อื่นๆ,ไม่ได้เปรียบเทียบ,ขอสินเชื่อ,ออกกำลังกาย,unknown,น้อยกว่า 23  ตร.ม.,1.51 - 2.0M,หลังที่ 1,Missing,Facebook Assetwise,Other,ไม่มีรถ,1 - 3 เดือน,"20,001 - 35,000","20,001 - 30,000",unknown,unknown,ไม่มีรถ,ปล่อยเช่า,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,ต่ำกว่า 25 ปี,ATMOZ,LOW RISE,1790000,ศรีราชา,-0.4999999999999997,-0.8660254037844388,25.0,7.0,3.0,2024.0,30,3.0,0,207.0,3.0,1.0
52,ชาย,แต่งงาน/สร้างครอบครัวใหม่,unknown,unknown,อื่นๆ โปรดระบุ,unknown,unknown,unknown,26-29 ตร.ม.,1.51 - 2.0M,Missing,Missing,Facebook Assetwise,ป้ายบริเวณ ข้าง/หน้า สำนักงานขาย,มอเตอร์ไซค์,ภายใน 1 เดือน,"20,001 - 35,000","20,001 - 30,000",unknown,unknown,อื่นๆ,อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,ATMOZ,LOW RISE,1690000,บางนา,-1.0,-1.8369701987210294e-16,27.0,4.0,2.0,2024.0,17,5.0,1,118.0,2.0,0.0
52,หญิง,ทำเลที่เดินทางสะดวกขึ้น,ทำเล,unknown,Origin Property ระบุโครงการ,ขอสินเชื่อ,unknown,unknown,26-29 ตร.ม.,2.01 - 2.5M,หลังที่ 1,Missing,Other,unknown,"รถเก๋ง Size M (Civic, Altis ...)",ภายใน 1 เดือน,"80,001 - 100,000","120,001 - 150,000",unknown,unknown,มาสด้า (Mazda),อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,36-45 ปี,ATMOZ,LOW RISE,1690000,บางนา,-0.4999999999999997,-0.8660254037844388,22.0,7.0,3.0,2023.0,29,5.0,1,203.0,3.0,1.0
59,ชาย,ใกล้ที่ทำงาน,ทำเล,อยู่ระหว่างการตัดสินใจ,unknown,ขอสินเชื่อ,ออกกำลังกาย,unknown,23-25 ตร.ม.,1.01 - 1.5M,หลังที่ 1,Missing,ป้ายโฆษณา,ป้ายบริเวณ รั้วโครงการ/หน้าโครงการ,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",4 - 6 เดือน,Missing,"15,001 - 20,000",unknown,unknown,โตโยต้า (Toyota),อยู่เอง,Other,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,ATMOZ,LOW RISE,1490000,รังสิต,-0.4999999999999997,-0.8660254037844388,15.0,3.0,1.0,2022.0,11,1.0,0,74.0,2.0,1.0
59,LGBT,ราคา,unknown,unknown,unknown,unknown,unknown,unknown,26-29 ตร.ม.,2.01 - 2.5M,Missing,Missing,เพื่อน/ญาติแนะนำ,ป้ายบริเวณ รั้วโครงการ/หน้าโครงการ,Missing,ภายใน 1 เดือน,Missing,"20,001 - 30,000",unknown,unknown,unknown,อยู่เอง,Other,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,ATMOZ,LOW RISE,1490000,รังสิต,-0.9659258262890684,-0.2588190451025206,28.0,5.0,2.0,2022.0,21,5.0,1,148.0,2.0,0.0
60,ชาย,ใกล้ที่ทำงาน,ราคา/ความคุ้มค่า,อื่นๆ,ไม่ได้เปรียบเทียบ,ขอสินเชื่อ,พักผ่อนส่วนตัว,unknown,23-25 ตร.ม.,1.51 - 2.0M,หลังที่ 1,Missing,Website โครงการ,ป้ายบริเวณ รั้วโครงการ/หน้าโครงการ,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",ภายใน 1 เดือน,"20,001 - 35,000","15,001 - 20,000",unknown,unknown,โตโยต้า (Toyota),อยู่เอง,Other,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,ATMOZ,LOW RISE,1790000,อ่อนนุช,-0.8660254037844385,-0.5000000000000004,14.0,1.0,1.0,2023.0,2,5.0,1,14.0,1.0,1.0
60,หญิง,ทำเลที่เดินทางสะดวกขึ้น,unknown,อยู่ระหว่างการตัดสินใจ,ไม่ได้เปรียบเทียบ,unknown,ท่องเที่ยว,unknown,23-25 ตร.ม.,1.51 - 2.0M,Missing,Missing,อื่นๆ,ป้ายบริเวณ รั้วโครงการ/หน้าโครงการ,"รถเก๋ง Size M (Civic, Altis ...)",มากกว่า 1 ปี,"20,001 - 35,000","20,001 - 30,000",unknown,unknown,โตโยต้า (Toyota),อยู่เอง,ถ.อ่อนนุช(จากทางสุขุมวิท),โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,ATMOZ,LOW RISE,1790000,อ่อนนุช,0.258819045102521,-0.9659258262890682,13.0,2.0,1.0,2025.0,7,3.0,0,44.0,1.0,0.0
61,หญิง,unknown,unknown,ราคาสูงกว่างบประมาณในการซื้อ,unknown,unknown,พักผ่อนส่วนตัว,unknown,26-29 ตร.ม.,1.51 - 2.0M,Missing,Missing,Google Search,unknown,ไม่มีรถ,4 - 6 เดือน,Missing,"20,001 - 30,000",unknown,unknown,ไม่มีรถ,อยู่เอง,unknown,โสด,รับราชการ ประเภท,25-35 ปี,KAVE,Campus Condo,2290000,เกษตร-นวมินทร์,-0.4999999999999997,-0.8660254037844388,17.0,12.0,4.0,2023.0,50,6.0,1,351.0,1.0,0.0
61,หญิง,ทำเลที่เดินทางสะดวกขึ้น,ทำเล,unknown,unknown,ขอสินเชื่อ,unknown,unknown,26-29 ตร.ม.,2.01 - 2.5M,หลังที่ 2,Missing,ป้ายหน้าโครงการ/รั้วโครงการ,Other,"รถเก๋ง Size M (Civic, Altis ...)",ภายใน 1 เดือน,"180,001 - 200,000","100,001 - 120,000",unknown,unknown,นิสสัน (Nissan),อยู่เอง,Other,สมรส มีบุตร (คน),รับราชการ ประเภท,45 ปีขึ้นไป,KAVE,Campus Condo,2290000,เกษตร-นวมินทร์,-0.8660254037844385,-0.5000000000000004,8.0,2.0,1.0,2024.0,6,3.0,0,39.0,1.0,1.0
62,หญิง,ทำเลที่เดินทางสะดวกขึ้น,unknown,unknown,Other,unknown,พักผ่อนส่วนตัว,unknown,23-25 ตร.ม.,2.01 - 2.5M,Missing,Missing,ป้ายโฆษณา,ป้ายบริเวณ รั้วโครงการ/หน้าโครงการ,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",7 - 12 เดือน,"65,001 - 80,000","50,001 - 65,000",unknown,unknown,โตโยต้า (Toyota),อยู่เอง,Other,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,ATMOZ,LOW RISE,1590000,ปากเกร็ด,-0.4999999999999997,-0.8660254037844388,14.0,8.0,3.0,2023.0,33,0.0,0,226.0,3.0,0.0
62,ชาย,ทำเลที่เดินทางสะดวกขึ้น,unknown,อื่นๆ,อื่นๆ โปรดระบุ,unknown,ท่องเที่ยว,unknown,30-34 ตร.ม.,2.51 - 3.0M,Missing,Missing,ป้ายโฆษณา,ป้ายบริเวณ รั้วโครงการ/หน้าโครงการ,"รถเก๋ง Size L (Accord, Camry ...)",1 - 3 เดือน,"65,001 - 80,000","65,001 - 80,000",unknown,unknown,ฮอนด้า (Honda),อยู่เอง,Other,โสด,อื่นๆ,25-35 ปี,ATMOZ,LOW RISE,1590000,ปากเกร็ด,-0.9659258262890684,-0.2588190451025206,25.0,6.0,2.0,2022.0,25,5.0,1,176.0,3.0,0.0
63,ชาย,ราคา,unknown,กังวลเรื่องสินเชื่อ,ไม่ได้เปรียบเทียบ,unknown,พักผ่อนส่วนตัว,unknown,30-34 ตร.ม.,2.01 - 2.5M,Missing,Missing,Website โครงการ,Other,"รถเก๋ง Size M (Civic, Altis ...)",7 - 12 เดือน,"35,001 - 50,000","40,001 - 50,000",unknown,unknown,ฮอนด้า (Honda),อยู่เอง,Other,โสด,อื่นๆ,25-35 ปี,ATMOZ,LOW RISE,1490000,มีนบุรี,-0.4999999999999997,-0.8660254037844388,27.0,2.0,1.0,2025.0,9,3.0,0,58.0,1.0,0.0
